	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol	F_23D_1	F_23D_2	F_23D_3	Tom3D1	Tom3D2	Tom3D3
ENSMUSG00000025161	1717.8584282809	-2.44391098716404	0.21943644384838	3.73609977508835e-30	5.76106585318624e-26	SLC16A8	2.78931286441	2.46027965785	2.52633318703	13.3774462275	16.0096773375	15.862928258299998
ENSMUSG00000034205	835.491979816945	-1.98798690160263	0.21206180092569896	4.71724839897823e-22	3.63699851561221e-18	LOXL4	0.370961667388	0.4902189455430001	0.417594044208	1.71492196111	1.82914841725	1.83688118828
ENSMUSG00000028527	675.9160146171611	-1.95729433619376	0.2164122903383	1.0309384416067399e-20	4.75164077550508e-17	AK4	3.01137223944	2.09197561944	2.113006708	9.548654013019998	9.7663967259	10.2403131442
ENSMUSG00000010651	148.499426974	2.46831976081323	0.275416358644998	1.23259164085735e-20	4.75164077550508e-17	ACAA1	22.2760799333	19.1437254426	18.576086326	3.11860606246	2.94181818915	3.76142196804
ENSMUSG00000032374	776.821783059807	-2.68900124800964	0.304415974322654	2.30331262504916e-20	6.698006383230799e-17	PLOD3	1.37424835634	0.553342051189	0.6969477012999999	5.84871255566	5.90718584625	7.5156558515
ENSMUSG00000003545	561.119883850426	-3.1433955762630403	0.367465582738326	2.60622816468125e-20	6.698006383230799e-17	FOSB	4.648604773530001	2.29009892069	2.72238808836	27.4908101481	34.9107176826	43.1107547724
ENSMUSG00000018906	736.612025595759	-1.83822449622248	0.209828949367023	1.4155940569009099e-19	3.11835147963029e-16	P4HA2	3.83281116776	4.1950922371	3.53060752827	13.6714774328	14.421855861800001	15.5327332875
ENSMUSG00000026971	532.8731772316211	-1.96115339912008	0.233834410265119	3.32458191727943e-18	6.408131645556089e-15	ITGB6	1.73849129398	1.41584806009	1.5242964624899995	6.81831942594	6.45884549639	6.14437765951
ENSMUSG00000021196	2166.083019810689	-2.11419419585551	0.25574323366948803	8.10680283672907e-18	1.3889655526929102e-14	PFKP	5.353158118590001	5.17470852993	5.38756318746	24.579665455900003	25.1267168692	25.2050764581
ENSMUSG00000045667	278.367293844314	-1.51749901284331	0.193082585720613	3.7369497748732996e-16	5.76237655285463e-13	SMTNL2	1.3366164068000002	1.68880640223	1.5640603807	4.2820557948800015	4.711526449040001	4.792250258869999
ENSMUSG00000037411	11944.4512066352	-2.15831258455426	0.28137141756341805	9.285077799099302e-16	1.30159908783737e-12	SERPINE1	18.5341374421	11.9052452003	10.6322702657	67.4963189584	62.6144335841	72.05218275909999
ENSMUSG00000037627	5.8854333898660185	-26.8054001602195	3.38012619617156	1.26724975411427e-15		RGS22	0.0	0.0	0.0	0.0126428761653	0.0	0.0
ENSMUSG00000048424	257.488993245556	-1.3291277407729398	0.17606214220052105	5.84760711812639e-15	7.51417514679241e-12	RANBP3L	8.44571831467	7.566013893869998	6.70810781482	17.5595427797	19.2493807907	22.4223166244
